PUBCHEM_CID,AID,PUBCHEM_SID,PUBCHEM_ACTIVITY_SCORE,PubChem Standard Value,MolecularWeight,Standard Value,IC50 (mm),Selectivity,Inhibition (%),Ki (mm),Kd (mm),Activity (%),Standard Units,Activity Comment,Data Validity Comment,pKd_min,pKd_max,pIC50_min,pIC50_max,Type,Action,Reference (PubMed ID),IC50,Enzyme Activity [1],Enzyme Activity [2],Average Enzyme Activity,Panel ID,Panel Target,%Inhibition,High Concentration (5 x IC50),Low Concentration (IC50 / 2),Qualifier,% Degradation,Kd Qualifier,Kd,qualifier,pKi,Activity Qualifier,EC50 Qualifier,EC50
10325530,1797499,386053171.0,,0.05,562.3,,0.05,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,50.0,,,,,,,,,,,,,,,,,
10345562,1797499,386053081.0,,0.05,492.7,,0.05,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,50.0,,,,,,,,,,,,,,,,,
10347091,1797499,386053012.0,,0.05,535.8,,0.05,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,50.0,,,,,,,,,,,,,,,,,
10347268,1797499,386053179.0,,0.05,540.8,,0.05,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,50.0,,,,,,,,,,,,,,,,,
10365561,1797499,386053115.0,,0.525,433.4,,0.525,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,525.0,,,,,,,,,,,,,,,,,
10369165,1797499,386053054.0,,0.525,512.8,,0.525,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,525.0,,,,,,,,,,,,,,,,,
10369374,1797499,386053006.0,,0.05,519.4,,0.05,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,50.0,,,,,,,,,,,,,,,,,
10392528,1797499,386053053.0,,0.525,540.8,,0.525,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,525.0,,,,,,,,,,,,,,,,,
10392846,1797499,386053013.0,,0.525,552.3,,0.525,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,525.0,,,,,,,,,,,,,,,,,
10412767,1797499,386053055.0,,0.525,478.3,,0.525,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,525.0,,,,,,,,,,,,,,,,,
10413710,1797499,386053045.0,,0.525,502.4,,0.525,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,525.0,,,,,,,,,,,,,,,,,
10455540,1797499,386053174.0,,0.05,433.3,,0.05,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,50.0,,,,,,,,,,,,,,,,,
10457243,1797499,386053123.0,,0.05,466.3,,0.05,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,50.0,,,,,,,,,,,,,,,,,
10458325,1797499,386053008.0,,0.525,491.4,,0.525,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,525.0,,,,,,,,,,,,,,,,,
10458326,1797499,386053011.0,,0.05,491.4,,0.05,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,50.0,,,,,,,,,,,,,,,,,
10460027,1797499,386053129.0,,0.525,544.3,,0.525,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,525.0,,,,,,,,,,,,,,,,,
10480595,1797499,386053047.0,,0.525,487.4,,0.525,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,525.0,,,,,,,,,,,,,,,,,
10480937,1797499,386053052.0,,0.525,496.3,,0.525,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,525.0,,,,,,,,,,,,,,,,,
10482693,1797499,386053057.0,,0.28750000000000003,550.8,,0.28750000000000003,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,287.5,,,,,,,,,,,,,,,,,
11260603,1798859,57560490.0,,0.052000000000000005,503.0,,0.052000000000000005,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,52.0,,,,,,,,,,,,,,,,,
11273032,1798900,58097702.0,,0.068,566.0,,0.068,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,68.0,,,,,,,,,,,,,,,,,
11284937,1798897,58097677.0,,0.08,608.1,,0.08,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,80.0,,,,,,,,,,,,,,,,,
11284937,1798900,58097677.0,,0.084,608.1,,0.084,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,84.0,,,,,,,,,,,,,,,,,
11407809,1804579,104050833.0,,0.3325,432.3,,0.3325,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,332.5,,,,,,,,,,,,,,,,,
11420204,1798859,57560485.0,,0.013000000000000001,479.0,,0.013000000000000001,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,13.0,,,,,,,,,,,,,,,,,
11420697,1798859,57560486.0,,0.01,503.0,,0.01,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,10.0,,,,,,,,,,,,,,,,,
